participant_id|session_id|session_uuid|study_id|wave|pack_id|launcher_file|pack_resource_checksum|participant_start_date|participant_end_date|participant_groups|start_date|start_time|start_timestamp|end_date|end_time|end_timestamp|exit_status|exit_status_detail|exit_screen|build_date|application_version|android_version|os|os_version|device_id|device_manufacturer|device_model|launch_type|beep_file|beep_time_target|beep_time_actual|pack_screen_trail|survey_intro_timemark#endtime|survey_intro_timemark#starttime|where_now_timemark#starttime|where_now|where_now_timemark#endtime|who_now_timemark#starttime|who_now|who_now_timemark#endtime|interaction_now_timemark#starttime|interaction_now|interaction_now_timemark#endtime|interaction_type_timemark#starttime|interaction_type|interaction_type_timemark#endtime|interaction_quality_timemark#starttime|interaction_quality|interaction_quality_timemark#endtime|activity_now_timemark#starttime|activity_now|activity_now_timemark#endtime|stressful_event_timemark#starttime|stressful_event|stressful_event_timemark#endtime|mood_valence_timemark#starttime|mood_valence|mood_valence_timemark#endtime|awake_feeling_timemark#starttime|awake_feeling|awake_feeling_timemark#endtime|mental_sharp_timemark#starttime|mental_sharp|mental_sharp_timemark#endtime|stressful_feeling_timemark#starttime|stressful_feeling|stressful_feeling_timemark#endtime|happy_feeling_timemark#starttime|happy_feeling|happy_feeling_timemark#endtime|lonely_feeling_timemark#starttime|lonely_feeling|lonely_feeling_timemark#endtime|relaxed_feeling_timemark#starttime|relaxed_feeling|relaxed_feeling_timemark#endtime|fatigue_feeling_timemark#starttime|fatigue_feeling|fatigue_feeling_timemark#endtime|concentration_timemark#starttime|concentration|concentration_timemark#endtime|thought_control_timemark#starttime|thought_control|thought_control_timemark#endtime|subjective_age_timemark#starttime|subjective_age|subjective_age_timemark#endtime|surveyclosing_timemark#starttime|surveyclosing_timemark#endtime|dotmemory_run_uuid|dotmemory_type|colorshapes_run_uuid|colorshapes_type|symbolsearch_run_uuid|symbolsearch_type|shoppinglist_run_uuid|shoppinglist_type|distract_timemark#starttime|distract_now|distract_timemark#endtime|game_performance_timemark#starttime|game_performance|game_performance_timemark#endtime|beep_thank_you_timemark#starttime|beep_thank_you_timemark#endtime|dotmemory_instruction_pack.screen0_timemark#starttime|dotmemory_instruction_pack.screen0_timemark#endtime|colorshapes_instruction_pack.screen0_timemark#starttime|colorshapes_instruction_pack.screen0_timemark#endtime|symbolsearch_instruction_pack.screen0_timemark#starttime|symbolsearch_instruction_pack.screen0_timemark#endtime|shoppinglist_instruction_pack.screen0_timemark#starttime|shoppinglist_instruction_pack.screen0_timemark#endtime|no_interact_why_timemark#starttime|no_interact_why_timemark#endtime|no_interact_why|want_interact_timemark#starttime|want_interact_timemark#endtime|want_interact
9999|65|f77e5c52-cca0-48fe-9a0c-96193da09e99|usc_demo|0|demo_survey1|usc_demo_launcher.xml|{"/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/usc_demo_launcher.xml":"1743c18ffd9f0d54e1fe9de12dddbc32","/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/beepschedules/schedule_test_beep.xml":"a883dacf4b0fa61182bb43d83d6a08e7"}|2020/01/01|2020/12/30||2021/03/23|15:10:56|2021-03-23T19:10:56Z|2021/03/23|15:11:17|2021-03-23T19:11:17Z|NORMAL|NA|survey_intro|11/11/20 5:03 pm|1.3.1|11|android|11|78c363f2d0e58109|samsung|SM-G9700|NORMAL_LAUNCH|beepschedules/schedule_test_beep.xml|NOT SET|NOT SET|survey_intro:15:10:56:791|2021/03/23 15:11:17:822|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.
9999|67|a25ee4b0-a2d3-4f11-bafd-0aa5eda93a7c|usc_demo|0|demo_survey1|usc_demo_launcher.xml|{"/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/usc_demo_launcher.xml":"1743c18ffd9f0d54e1fe9de12dddbc32","/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/beepschedules/schedule_test_beep.xml":"a883dacf4b0fa61182bb43d83d6a08e7"}|2020/01/01|2020/12/30||2021/03/23|15:13:26|2021-03-23T19:13:26Z|2021/03/23|15:14:29|2021-03-23T19:14:29Z|MINIMIZE/FORCE_CLOSE|NA|survey_intro|11/11/20 5:03 pm|1.3.1|11|android|11|78c363f2d0e58109|samsung|SM-G9700|NORMAL_LAUNCH|beepschedules/schedule_test_beep.xml|NOT SET|NOT SET|survey_intro:15:13:26:680>minimized:15:14:29:189|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.
9999|67|a25ee4b0-a2d3-4f11-bafd-0aa5eda93a7c|usc_demo|0|demo_survey1|usc_demo_launcher.xml|{"/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/usc_demo_launcher.xml":"1743c18ffd9f0d54e1fe9de12dddbc32","/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/beepschedules/schedule_test_beep.xml":"a883dacf4b0fa61182bb43d83d6a08e7"}|2020/01/01|2020/12/30||2021/03/23|15:13:26|2021-03-23T19:13:26Z|2021/03/23|15:15:45|2021-03-23T19:15:45Z|MINIMIZE/FORCE_CLOSE|NA|survey_intro|11/11/20 5:03 pm|1.3.1|11|android|11|78c363f2d0e58109|samsung|SM-G9700|NORMAL_LAUNCH|beepschedules/schedule_test_beep.xml|NOT SET|NOT SET|survey_intro:15:13:26:680>minimized:15:14:29:189>resumed:15:15:36:661>minimized:15:15:45:357|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.
9999|67|a25ee4b0-a2d3-4f11-bafd-0aa5eda93a7c|usc_demo|0|demo_survey1|usc_demo_launcher.xml|{"/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/usc_demo_launcher.xml":"1743c18ffd9f0d54e1fe9de12dddbc32","/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/beepschedules/schedule_test_beep.xml":"a883dacf4b0fa61182bb43d83d6a08e7"}|2020/01/01|2020/12/30||2021/03/23|15:13:26|2021-03-23T19:13:26Z|2021/03/23|15:18:26|2021-03-23T19:18:26Z|NORMAL|NA|survey_intro|11/11/20 5:03 pm|1.3.1|11|android|11|78c363f2d0e58109|samsung|SM-G9700|NORMAL_LAUNCH|beepschedules/schedule_test_beep.xml|NOT SET|NOT SET|survey_intro:15:13:26:680>minimized:15:14:29:189>resumed:15:15:36:661>minimized:15:15:45:357>resumed:15:18:20:402>resumed:15:18:24:817|2021/03/23 15:18:26:721|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.
9999|68|3f974bc6-3fd5-4261-b30e-4dc24c0744f5|usc_demo|0|demo_survey1|usc_demo_launcher.xml|{"/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/usc_demo_launcher.xml":"1743c18ffd9f0d54e1fe9de12dddbc32","/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/beepschedules/schedule_test_beep.xml":"a883dacf4b0fa61182bb43d83d6a08e7"}|2020/01/01|2020/12/30||2021/03/23|15:23:16|2021-03-23T19:23:16Z|2021/03/23|15:23:30|2021-03-23T19:23:30Z|MINIMIZE/FORCE_CLOSE|NA|survey_intro|11/11/20 5:03 pm|1.3.1|11|android|11|78c363f2d0e58109|samsung|SM-G9700|NORMAL_LAUNCH|beepschedules/schedule_test_beep.xml|NOT SET|NOT SET|survey_intro:15:23:16:654>minimized:15:23:30:329|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.
9999|68|3f974bc6-3fd5-4261-b30e-4dc24c0744f5|usc_demo|0|demo_survey1|usc_demo_launcher.xml|{"/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/usc_demo_launcher.xml":"1743c18ffd9f0d54e1fe9de12dddbc32","/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/beepschedules/schedule_test_beep.xml":"a883dacf4b0fa61182bb43d83d6a08e7"}|2020/01/01|2020/12/30||2021/03/23|15:23:16|2021-03-23T19:23:16Z|2021/03/23|15:24:43|2021-03-23T19:24:43Z|NORMAL|NA|survey_intro|11/11/20 5:03 pm|1.3.1|11|android|11|78c363f2d0e58109|samsung|SM-G9700|NORMAL_LAUNCH|beepschedules/schedule_test_beep.xml|NOT SET|NOT SET|survey_intro:15:23:16:654>minimized:15:23:30:329>resumed:15:24:40:309|2021/03/23 15:24:43:524|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.|.
9999|69|d74951c6-2f58-49cb-90f0-f6ef0b570a7f|usc_demo|0|demo_survey1|usc_demo_launcher.xml|{"/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/usc_demo_launcher.xml":"1743c18ffd9f0d54e1fe9de12dddbc32","/data/user/0/edu.psu.m2c2_run_1_3/files/dolphin/beepschedules/schedule_test_beep.xml":"a883dacf4b0fa61182bb43d83d6a08e7"}|2020/01/01|2020/12/30||2021/03/23|15:24:48|2021-03-23T19:24:48Z|2021/03/23|15:28:12|2021-03-23T19:28:12Z|NORMAL|NA|beep_thank_you|11/11/20 5:03 pm|1.3.1|11|android|11|78c363f2d0e58109|samsung|SM-G9700|NORMAL_LAUNCH|beepschedules/schedule_test_beep.xml|NOT SET|NOT SET|survey_intro:15:24:48:440>where_now:15:24:50:976>who_now:15:24:55:341>interaction_now:15:24:58:199>interaction_type:15:25:03:276>interaction_quality:15:25:05:245>activity_now:15:25:08:274>stressful_event:15:25:11:709>mood_valence:15:25:13:647>awake_feeling:15:25:15:316>mental_sharp:15:25:17:010>stressful_feeling:15:25:18:357>happy_feeling:15:25:19:766>lonely_feeling:15:25:21:171>relaxed_feeling:15:25:22:532>fatigue_feeling:15:25:23:796>concentration:15:25:25:142>thought_control:15:25:26:318>subjective_age:15:25:27:597>surveyclosing:15:25:28:856>dotmemory_instruction_pack.screen0:15:25:30:052>dotmemory_cogtask_screen:15:25:35:599>colorshapes_instruction_pack.screen0:15:26:06:242>colorshapes_cogtask_screen:15:26:21:618>symbolsearch_instruction_pack.screen0:15:26:56:921>symbolsearch_cogtask_screen:15:27:11:661>shoppinglist_instruction_pack.screen0:15:27:17:484>shoppinglist_cogtask_screen:15:27:27:525>distract:15:28:06:555>game_performance:15:28:08:953>beep_thank_you:15:28:11:219|2021/03/23 15:24:50:970|2021/03/23 15:24:48:451|2021/03/23 15:24:50:979|Your home|2021/03/23 15:24:55:335|2021/03/23 15:24:55:343|Nobody+Friend(s)|2021/03/23 15:24:58:193|2021/03/23 15:24:58:201|Yes|2021/03/23 15:25:03:271|2021/03/23 15:25:03:278|Talking in person/face to face|2021/03/23 15:25:05:241|2021/03/23 15:25:05:247|72|2021/03/23 15:25:08:268|2021/03/23 15:25:08:276|Work for pay |2021/03/23 15:25:11:704|2021/03/23 15:25:11:710|No|2021/03/23 15:25:13:643|2021/03/23 15:25:13:649|82|2021/03/23 15:25:15:310|2021/03/23 15:25:15:317|0|2021/03/23 15:25:17:004|2021/03/23 15:25:17:011|80|2021/03/23 15:25:18:352|2021/03/23 15:25:18:358|25|2021/03/23 15:25:19:761|2021/03/23 15:25:19:767|83|2021/03/23 15:25:21:166|2021/03/23 15:25:21:172|27|2021/03/23 15:25:22:528|2021/03/23 15:25:22:533|92|2021/03/23 15:25:23:790|2021/03/23 15:25:23:797|26|2021/03/23 15:25:25:137|2021/03/23 15:25:25:143|85|2021/03/23 15:25:26:314|2021/03/23 15:25:26:319|24|2021/03/23 15:25:27:589|2021/03/23 15:25:27:598|94|2021/03/23 15:25:28:854|2021/03/23 15:25:28:858|2021/03/23 15:25:30:044|d6fb362a-aad6-4023-807e-dbcd5cd93265|script_dotmemory|b0c94d5c-f668-4e2a-ba23-03144f2e5d47|script_memorybinding|09dcc641-53cd-4ffc-a5d5-66cf134abae8|script_symbolsearch|9bccf01c-8c06-4d64-aad2-4c2dc8c9e2de|script_shoppinglist|2021/03/23 15:28:06:580|No|2021/03/23 15:28:08:948|2021/03/23 15:28:08:955|78|2021/03/23 15:28:11:217|2021/03/23 15:28:11:221|2021/03/23 15:28:12:935|2021/03/23 15:25:30:061|2021/03/23 15:25:35:600|2021/03/23 15:26:06:332|2021/03/23 15:26:21:619|2021/03/23 15:26:56:999|2021/03/23 15:27:11:662|2021/03/23 15:27:17:565|2021/03/23 15:27:27:526|.|.|.|.|.|.
9999|1|668a7da7-583c-449e-8084-eb5089e028a9|usc_demo|0|demo_survey1|usc_demo_launcher.xml|{"/data/user/0/edu.psu.m2c2_run_1_4/files/dolphin/usc_demo_launcher.xml":"2efafc0cb1c84e305fbf548fbdb4f334","/data/user/0/edu.psu.m2c2_run_1_4/files/dolphin/beepschedules/schedule_test_beep.xml":"a883dacf4b0fa61182bb43d83d6a08e7"}|2020/01/01|2020/12/30||2021/03/23|15:58:55|2021-03-23T19:58:55Z|2021/03/23|16:03:27|2021-03-23T20:03:27Z|NORMAL|NA|beep_thank_you|3/19/21 12:02 PM|1.4|10|android|10|5af7e524e5a045d0|motorola|moto g(8) play|NORMAL_LAUNCH|beepschedules/schedule_test_beep.xml|NOT SET|NOT SET|survey_intro:15:58:55:977>where_now:15:58:59:908>who_now:15:59:02:432>interaction_now:15:59:05:030>no_interact_why:15:59:13:129>want_interact:15:59:18:500>no_interact_why:15:59:19:649>want_interact:15:59:21:749>activity_now:15:59:29:964>stressful_event:15:59:34:757>mood_valence:15:59:37:509>awake_feeling:15:59:39:562>mental_sharp:15:59:44:702>stressful_feeling:15:59:47:407>happy_feeling:15:59:49:245>lonely_feeling:15:59:51:145>relaxed_feeling:15:59:54:244>fatigue_feeling:15:59:56:265>concentration:15:59:59:576>thought_control:16:00:02:434>subjective_age:16:00:06:941>surveyclosing:16:00:16:132>dotmemory_instruction_pack.screen0:16:00:17:528>dotmemory_cogtask_screen:16:00:27:794>colorshapes_instruction_pack.screen0:16:01:10:041>colorshapes_cogtask_screen:16:01:11:325>symbolsearch_instruction_pack.screen0:16:01:49:217>symbolsearch_cogtask_screen:16:01:58:600>shoppinglist_instruction_pack.screen0:16:02:09:947>shoppinglist_cogtask_screen:16:02:11:683>distract:16:02:59:881>game_performance:16:03:01:536>beep_thank_you:16:03:25:864|2021/03/23 15:58:59:879|2021/03/23 15:58:55:990|2021/03/23 15:58:59:914|Your home|2021/03/23 15:59:02:406|2021/03/23 15:59:02:436|Nobody|2021/03/23 15:59:05:012|2021/03/23 15:59:05:036|No|2021/03/23 15:59:13:102|.|.|.|.|.|.|2021/03/23 15:59:29:971|Work for pay |2021/03/23 15:59:34:738|2021/03/23 15:59:34:761|Yes|2021/03/23 15:59:37:490|2021/03/23 15:59:37:513|15|2021/03/23 15:59:39:543|2021/03/23 15:59:39:566|74|2021/03/23 15:59:44:687|2021/03/23 15:59:44:706|41|2021/03/23 15:59:47:392|2021/03/23 15:59:47:410|100|2021/03/23 15:59:49:226|2021/03/23 15:59:49:247|15|2021/03/23 15:59:51:128|2021/03/23 15:59:51:148|1|2021/03/23 15:59:54:225|2021/03/23 15:59:54:247|0|2021/03/23 15:59:56:247|2021/03/23 15:59:56:268|37|2021/03/23 15:59:59:555|2021/03/23 15:59:59:580|100|2021/03/23 16:00:02:415|2021/03/23 16:00:02:437|100|2021/03/23 16:00:06:922|2021/03/23 16:00:06:945|30|2021/03/23 16:00:16:123|2021/03/23 16:00:16:136|2021/03/23 16:00:17:493|20009280-0612-44cc-ac0e-e53b9d3bd183|script_dotmemory|95ac4c9c-3c30-4f81-829b-4d6348d9bc57|script_memorybinding|3e75c9a8-4a28-420b-b465-ada8aca18ac4|script_symbolsearch|37578056-1492-47ea-b047-2340ff3ccc4f|script_shoppinglist|2021/03/23 16:02:59:941|No|2021/03/23 16:03:01:526|2021/03/23 16:03:01:540|100|2021/03/23 16:03:25:855|2021/03/23 16:03:25:868|2021/03/23 16:03:27:152|2021/03/23 16:00:17:563|2021/03/23 16:00:27:787|2021/03/23 16:01:10:181|2021/03/23 16:01:11:322|2021/03/23 16:01:49:403|2021/03/23 16:01:58:596|2021/03/23 16:02:10:099|2021/03/23 16:02:11:680|2021/03/23 15:59:13:134|2021/03/23 15:59:18:483|Preferred to be alone+Too busy/doing other things+Avoided unpleasant interactions|2021/03/23 15:59:18:505|2021/03/23 15:59:19:623|0
9999|1|4f675c22-1f74-4e94-9f81-2c443af53615|usc_demo|0|demo_survey1|usc_demo_launcher.xml|{"/data/user/0/edu.psu.m2c2_run_1_4/files/dolphin/usc_demo_launcher.xml":"2efafc0cb1c84e305fbf548fbdb4f334","/data/user/0/edu.psu.m2c2_run_1_4/files/dolphin/beepschedules/schedule_test_beep.xml":"a883dacf4b0fa61182bb43d83d6a08e7"}|2020/01/01|2020/12/30||2021/03/24|10:35:27|2021-03-24T14:35:27Z|2021/03/24|10:45:13|2021-03-24T14:45:13Z|NORMAL|NA|beep_thank_you|3/19/21 12:02 PM|1.4|9|android|9|48961375ae30ba54|Xiaomi|Mi A1|NORMAL_LAUNCH|beepschedules/schedule_test_beep.xml|NOT SET|NOT SET|survey_intro:10:35:27:180>where_now:10:35:32:893>who_now:10:35:45:879>interaction_now:10:36:00:277>interaction_type:10:36:20:195>interaction_quality:10:36:47:092>activity_now:10:36:58:722>stressful_event:10:37:16:700>mood_valence:10:37:24:829>awake_feeling:10:37:39:686>mental_sharp:10:37:45:545>stressful_feeling:10:37:57:608>happy_feeling:10:38:03:767>lonely_feeling:10:38:08:263>relaxed_feeling:10:38:15:451>fatigue_feeling:10:38:28:741>concentration:10:38:36:968>thought_control:10:38:44:703>subjective_age:10:38:53:711>surveyclosing:10:39:32:275>dotmemory_instruction_pack.screen0:10:39:40:956>dotmemory_cogtask_screen:10:39:52:789>colorshapes_instruction_pack.screen0:10:40:30:318>colorshapes_cogtask_screen:10:40:56:513>symbolsearch_instruction_pack.screen0:10:41:51:758>symbolsearch_cogtask_screen:10:42:16:663>shoppinglist_instruction_pack.screen0:10:42:41:573>shoppinglist_cogtask_screen:10:43:39:326>distract:10:44:54:113>game_performance:10:45:01:391>beep_thank_you:10:45:10:961|2021/03/24 10:35:32:873|2021/03/24 10:35:27:186|2021/03/24 10:35:32:899|Your home|2021/03/24 10:35:45:852|2021/03/24 10:35:45:884|Spouse/Partner|2021/03/24 10:36:00:257|2021/03/24 10:36:00:284|Yes|2021/03/24 10:36:20:179|2021/03/24 10:36:20:203|Texting/Messaging on the phone/Internet|2021/03/24 10:36:47:075|2021/03/24 10:36:47:097|73|2021/03/24 10:36:58:705|2021/03/24 10:36:58:728|Work for pay +Interacting with others|2021/03/24 10:37:16:685|2021/03/24 10:37:16:703|No|2021/03/24 10:37:24:814|2021/03/24 10:37:24:833|75|2021/03/24 10:37:39:674|2021/03/24 10:37:39:689|82|2021/03/24 10:37:45:530|2021/03/24 10:37:45:548|68|2021/03/24 10:37:57:595|2021/03/24 10:37:57:611|29|2021/03/24 10:38:03:754|2021/03/24 10:38:03:770|70|2021/03/24 10:38:08:248|2021/03/24 10:38:08:266|20|2021/03/24 10:38:15:435|2021/03/24 10:38:15:454|16|2021/03/24 10:38:28:730|2021/03/24 10:38:28:744|40|2021/03/24 10:38:36:951|2021/03/24 10:38:36:973|38|2021/03/24 10:38:44:686|2021/03/24 10:38:44:707|37|2021/03/24 10:38:53:698|2021/03/24 10:38:53:715|25|2021/03/24 10:39:32:269|2021/03/24 10:39:32:279|2021/03/24 10:39:40:926|ad1bb98e-0681-4967-b4f3-93b8fb537b9e|script_dotmemory|c89b303f-0bf1-4856-acc0-bc5480f29ab5|script_memorybinding|dac3b1a9-95f3-4d96-aeeb-fd652c0bb9db|script_symbolsearch|a3c1889c-21f6-495c-9de5-f5e65321d509|script_shoppinglist|2021/03/24 10:44:54:230|No|2021/03/24 10:45:01:373|2021/03/24 10:45:01:395|59|2021/03/24 10:45:10:954|2021/03/24 10:45:10:966|2021/03/24 10:45:13:774|2021/03/24 10:39:40:983|2021/03/24 10:39:52:785|2021/03/24 10:40:30:448|2021/03/24 10:40:56:509|2021/03/24 10:41:51:900|2021/03/24 10:42:16:660|2021/03/24 10:42:41:701|2021/03/24 10:43:39:323|.|.|.|.|.|.
9999|4|e1d1c247-bac8-466a-8d6b-2c271416e029|usc_demo|0|demo_survey1|usc_demo_launcher.xml|{"/data/user/0/edu.psu.m2c2_run_1_4/files/dolphin/usc_demo_launcher.xml":"2efafc0cb1c84e305fbf548fbdb4f334","/data/user/0/edu.psu.m2c2_run_1_4/files/dolphin/beepschedules/schedule_test_beep.xml":"a883dacf4b0fa61182bb43d83d6a08e7"}|2020/01/01|2020/12/30||2021/03/24|12:10:53|2021-03-24T16:10:53Z|2021/03/24|12:16:19|2021-03-24T16:16:19Z|NORMAL|NA|beep_thank_you|3/19/21 12:02 PM|1.4|9|android|9|48961375ae30ba54|Xiaomi|Mi A1|NORMAL_LAUNCH|beepschedules/schedule_test_beep.xml|NOT SET|NOT SET|survey_intro:12:10:53:730>where_now:12:10:55:464>who_now:12:10:58:961>interaction_now:12:11:03:889>interaction_type:12:11:09:528>interaction_quality:12:11:13:485>activity_now:12:11:17:898>stressful_event:12:11:24:476>mood_valence:12:11:26:970>stressful_event:12:11:30:394>mood_valence:12:11:32:205>awake_feeling:12:11:38:430>mental_sharp:12:11:42:020>stressful_feeling:12:11:47:606>happy_feeling:12:11:50:723>lonely_feeling:12:11:53:181>relaxed_feeling:12:11:55:495>fatigue_feeling:12:11:58:158>concentration:12:12:01:558>thought_control:12:12:04:585>subjective_age:12:12:07:849>surveyclosing:12:12:21:147>dotmemory_instruction_pack.screen0:12:12:33:287>dotmemory_cogtask_screen:12:12:37:972>colorshapes_instruction_pack.screen0:12:13:12:907>colorshapes_cogtask_screen:12:13:18:114>symbolsearch_instruction_pack.screen0:12:14:05:143>symbolsearch_cogtask_screen:12:14:09:359>shoppinglist_instruction_pack.screen0:12:14:36:740>shoppinglist_cogtask_screen:12:14:50:513>distract:12:16:07:250>game_performance:12:16:14:327>beep_thank_you:12:16:17:728|2021/03/24 12:10:55:447|2021/03/24 12:10:53:736|2021/03/24 12:10:55:466|Your home|2021/03/24 12:10:58:939|2021/03/24 12:10:58:965|Nobody|2021/03/24 12:11:03:874|2021/03/24 12:11:03:894|Yes|2021/03/24 12:11:09:513|2021/03/24 12:11:09:531|Video/Webcam calls (e.g., Zoom, Skype, Facetime)|2021/03/24 12:11:13:474|2021/03/24 12:11:13:489|74|2021/03/24 12:11:17:882|2021/03/24 12:11:17:901|Work for pay +Interacting with others|2021/03/24 12:11:24:463|2021/03/24 12:11:24:479|Yes|2021/03/24 12:11:26:955|2021/03/24 12:11:26:973|52|2021/03/24 12:11:30:383|2021/03/24 12:11:38:433|51|2021/03/24 12:11:42:005|2021/03/24 12:11:42:023|54|2021/03/24 12:11:47:593|2021/03/24 12:11:47:609|47|2021/03/24 12:11:50:711|2021/03/24 12:11:50:725|59|2021/03/24 12:11:53:167|2021/03/24 12:11:53:184|18|2021/03/24 12:11:55:481|2021/03/24 12:11:55:498|36|2021/03/24 12:11:58:142|2021/03/24 12:11:58:161|47|2021/03/24 12:12:01:545|2021/03/24 12:12:01:562|33|2021/03/24 12:12:04:572|2021/03/24 12:12:04:588|23|2021/03/24 12:12:07:834|2021/03/24 12:12:07:853|28|2021/03/24 12:12:21:138|2021/03/24 12:12:21:150|2021/03/24 12:12:33:259|c37e106c-c4d8-46e0-9938-7877a15c0553|script_dotmemory|fa59d903-26bb-4c8a-a916-0e995a8ade37|script_memorybinding|316ec8b8-e59c-4f75-a04d-3852d2d3f0c4|script_symbolsearch|f8cace97-a940-4c6f-9489-76573ce53425|script_shoppinglist|2021/03/24 12:16:07:347|No|2021/03/24 12:16:14:315|2021/03/24 12:16:14:330|60|2021/03/24 12:16:17:722|2021/03/24 12:16:17:731|2021/03/24 12:16:19:679|2021/03/24 12:12:33:312|2021/03/24 12:12:37:969|2021/03/24 12:13:13:019|2021/03/24 12:13:18:110|2021/03/24 12:14:05:308|2021/03/24 12:14:09:354|2021/03/24 12:14:36:874|2021/03/24 12:14:50:510|.|.|.|.|.|.
