,,,Q_4530,Q_4541,Q_4539,Q_4531,Q_4542,Q_4540,Q_4532,Q_4533,Q_4534,Q_4535,Q_4536,Q_4537,Q_5296,Q_4538,Q_4543,Q_4544,Q_4994,Q_4545,Q_4546,Q_4547,Q_4548,Q_4549,Q_4550,"External ID"
,,,sleepy_now,feel_then1,stress_whynot,mood_now,feel_now1,stress_whynot2,where_now,who_now,wellbeing_intro,doing_now,enjoy_now,stress_intro,stressor_type,N/A,N/A,dotmemory_UUID,colornaming_UUID,symbolsearch_UUID,shoppinglist_UUID,N/A,distract_now,distract_what,N/A
"Survey Date Submitted","Survey Date Completed","Participant ID","Which of these best describes how you feel <u>right now</u>?","How unpleasant was it when it happened?","Why do you think nothing stressful happened?","Which of these best describes your overall mood <u>right now</u>?","How do you feel about it now?","Even though nothing stressful happened, did you think  about stressful things?","Where are you?","Who are you with?","The next questions ask about your activities and experiences during the  time since the last survey.","What activities have you done?","How much enjoyment have you had?","The next several question ask about STRESSFUL experiences that may  have happened since the last survey. A STRESSFUL experience is any experience that presented a challenge or affected  you negatively.","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Thank you for completing the survey. Now, get ready to play some brain  games!","Press the 'Begin' button to start the Dot Memory test.","Press the 'Begin' button to begin the Color Naming test.","Press the 'Begin' button to begin the Symbol Search test.","Press 'Begin' to start the Shopping List test.","While you were playing the brain games...","Were you distracted by anything in your environment while  performing the brain games?","Please identify anything that distracted you. (Select all that apply)","End Block"
"2022-01-06 14:39:17","2022-01-06 14:39:16",genu-za0ct,85.00,N/A,N/A,25.00,N/A,N/A,4,5,N/A,3,84.00,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found-s1i5l
"2022-01-10 19:56:56","2022-01-10 19:56:55",cant-jt1w4,25.07,84.70,5,90.23,17.28,85.98,6,"3,4,6",NA,"2,4,6,5",84.70,NA,N/A,4,NA,5D3B1C8A-47B5-4F5D-A237-9FF5B4AA6040,376C85CA-5625-41A4-BD69-896C41D286D9,876D50DF-B501-43E1-9B61-A9EFF12702BC,0DF1ED4B-B3E4-4D08-A9E0-FB1CCF0EEAEA,NA,1,4,N/A,"iOSTest_2022_Jan, 08Jan2022, 09Jan2022iOS"
"2022-01-10 20:12:21","2022-01-10 20:12:20",gawp-51hl2,82.00,N/A,N/A,N/A,N/A,N/A,6,"3,6",N/A,"5,6",87.00,N/A,N/A,2,N/A,e3e6715e-9842-4699-815c-4a6a9be15067,f25a2331-88a2-45f1-80fe-87b76c5493ab,e98b98a8-2f24-458b-9034-8f345a2dbe22,75dd3b0d-f966-422e-8953-51b06c3fd8c4,N/A,2,N/A,N/A,09Jan2022Android
"2022-01-12 06:56:13","2022-01-12 06:56:12",mams-k9x34,83.00,N/A,N/A,22.00,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QRcodeTest_Android
"2022-01-17 17:19:13","2022-01-17 17:19:11",gush-wv4rx,79.00,73.00,N/A,75.00,20.00,N/A,8,1,N/A,2,0.00,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no_scheduler_check
"2022-01-17 21:11:08","2022-01-17 21:11:05",gush-wv4rx,73.00,N/A,"2,3",25.00,N/A,26.00,6,"2,4,7",N/A,"1,2,3",73.00,N/A,1,N/A,N/A,436babbb-9ce5-4263-a9ab-654bd4f7a47d,f42e5b61-2e5b-401f-ac09-c2f69d665cd4,8a444b74-d6e8-4333-9275-ccdc0228f3b1,ec596dcd-bce6-46e4-81d7-b14907464cd2,N/A,1,"2,3,4",N/A,no_scheduler_check
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,21.25,25.78,3,N/A,N/A,24.50,6,N/A,NA,1,82.15,NA,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,81.87,N/A,3,20.40,N/A,23.94,6,3,NA,2,78.47,NA,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
