,,,Q_4484,Q_4485,Q_4486,Q_4487,Q_4488,Q_4489,Q_4490,Q_4491,"External ID"
,,,sleep_quality,sleep_fall,sleep_quality,sleep_trouble,sleep_refresh,pleasant_expect_intro,stress_today,uplift_today
"Survey Date Submitted","Survey Date Completed","Participant ID","The following questions ask about your sleep last night.","How difficult was it to fall asleep?","How was the quality of your sleep?","Did you have trouble staying asleep?","Did you feel refreshed when you woke up?","The next questions ask about how you expect your day will be.","Overall, how stressful do you expect today will be?","Overall, how pleasant do you expect today will be?"
"2021-11-09 19:09:23","2021-11-09 19:09:23",clag-tu3yc,N/A,80.00,84.00,19.00,87.00,N/A,83.00,26.00,N/A
"2021-11-12 08:32:13","2021-11-12 08:32:13",kris-72jg1,N/A,78.00,26.00,76.00,28.00,N/A,78.00,78.00,N/A
"2021-11-12 09:30:04","2021-11-12 09:30:04",norm-sv3iv,N/A,62.00,72.00,73.00,N/A,N/A,79.00,76.00,N/A
"2021-11-12 09:36:22","2021-11-12 09:36:21",oxen-bz2c5,N/A,100.00,0.00,100.00,28.00,N/A,77.00,51.00,N/A
"2021-11-12 09:36:51","2021-11-12 09:36:50",oxen-bz2c5,N/A,100.00,0.00,100.00,0.00,N/A,100.00,0.00,N/A
"2021-11-12 09:50:32","2021-11-12 09:50:32",kris-72jg1,N/A,86.00,22.00,82.00,22.00,N/A,73.00,22.00,N/A
"2021-11-12 09:58:55","2021-11-12 09:58:54",kris-72jg1,N/A,81.00,24.00,87.00,16.00,N/A,75.00,18.00,N/A
"2021-11-12 10:14:36","2021-11-12 10:14:36",dreck-hx12h,NA,17.71,78.47,14.87,65.72,NA,67.85,67.14,N/A
"2021-11-12 10:15:08","2021-11-12 10:15:07",dreck-hx12h,NA,24.08,77.90,24.08,77.05,NA,67.85,76.49,N/A
"2021-11-12 10:29:59","2021-11-12 10:29:59",kris-72jg1,N/A,79.00,16.00,78.00,31.00,N/A,76.00,23.00,N/A
"2021-11-12 11:00:38","2021-11-12 11:00:38",goby-sw3fc,N/A,60.00,68.00,41.00,64.00,N/A,61.00,37.00,N/A
"2021-11-12 11:00:39","2021-11-12 11:00:38",dreck-hx12h,NA,76.06,73.80,30.31,68.70,NA,65.44,36.12,N/A
"2021-11-15 08:52:19","2021-11-15 08:52:18",areas-4ib13,NA,28.75,32.72,28.61,32.29,NA,20.11,27.20,N/A
"2021-11-15 08:52:19","2021-11-15 08:52:19",dully-9eg2z,N/A,72.00,72.00,67.00,68.00,N/A,76.00,71.00,N/A
"2021-11-16 19:55:52","2021-11-16 19:55:52",areas-4ib13,NA,78.47,27.62,N/A,81.73,NA,50.00,77.76,N/A
"2021-11-17 09:30:40","2021-11-17 09:30:40",dully-9eg2z,N/A,20.00,93.00,19.00,94.00,N/A,25.00,84.00,N/A
"2021-11-19 16:49:01","2021-11-19 16:49:01",dully-9eg2z,N/A,N/A,N/A,65.00,28.00,N/A,N/A,74.00,N/A
"2021-11-20 08:52:06","2021-11-20 08:52:06",dully-9eg2z,N/A,85.00,26.00,N/A,27.00,N/A,87.00,29.00,N/A
"2021-11-20 08:55:26","2021-11-20 08:55:27",dully-9eg2z,N/A,78.00,24.00,85.00,27.00,N/A,78.00,22.00,N/A
"2021-11-20 15:42:18","2021-11-20 15:42:18",fahs-14sm9,NA,80.45,50.14,70.40,50.00,NA,50.28,79.18,N/A
"2021-11-22 12:28:48","2021-11-22 12:28:48",bloom-6fo1c,N/A,81.00,22.00,78.00,23.00,N/A,85.00,21.00,N/A
