,,,Q_4492,Q_4507,Q_4493,Q_4494,Q_4495,Q_4496,Q_4497,Q_4498,Q_4508,Q_4499,Q_4500,Q_4501,Q_4502,Q_4503,Q_4504,Q_4505,Q_4506,"External ID"
,,,N/A,N/A,wrap_up_easier,wrap_up_better,wrap_up_annoy,wrap_up_learn,wrap_up_boring,wrap_up_survey_boring,N/A,N/A,wrap_up_typical,wrap_up_recommend,wrap_up_paid,wrap_up_feedback,wrap_up_stress,N/A,N/A
"Survey Date Submitted","Survey Date Completed","Participant ID","About the smartphones:","Please answer the following questions in regard to your experiences with the <b>smartphones</b>:","With practice, the beeped  surveys became easier  and quicker to do.","After a while, I got better  at playing the brain  games.","Getting beeped 3 times a  day was annoying.","I learned something about  myself.","I found the brain games to  be repetitive and/or  boring.","I found the survey  questions to be repetitive  and/or boring.","Please answer the following questions in regard to your experiences with the <b>study as a whole</b>:","About the study:","The last two weeks were  pretty typical for me  (nothing unusual really  happened).","I would recommend this  study to others.","Getting paid for  participating was one of  the main reasons I decided to join the smartphone  study.","Getting feedback on how I  did on the games was one  of the main reasons I  decided to join the  smartphone study.","I experienced something  unusually stressful over  the last two weeks (for  example, an illness, death  in the family, break up in a relationship.)","Please list events below:","End Block"
"2021-11-09 19:12:29","2021-11-09 19:12:29",clag-tu3yc,N/A,N/A,3,2,5,1,3,5,N/A,N/A,1,4,3,1,3,N/A,N/A,N/A
"2021-11-12 08:34:40","2021-11-12 08:34:40",kris-72jg1,N/A,N/A,2,5,3,1,5,5,N/A,N/A,2,5,2,4,5,N/A,N/A,N/A
"2021-11-12 09:33:20","2021-11-12 09:33:20",norm-sv3iv,N/A,N/A,4,2,3,5,N/A,3,N/A,N/A,N/A,3,5,5,1,"watch the movie, ate a hamburger, walk to the top of Mount Everest",N/A,N/A
"2021-11-12 10:22:56","2021-11-12 10:22:56",dreck-hx12h,N/A,NA,2,2,2,3,3,4,NA,N/A,4,2,2,3,4,N/A,N/A,N/A
"2021-11-12 10:32:38","2021-11-12 10:32:38",kris-72jg1,N/A,N/A,2,4,1,4,3,1,N/A,N/A,3,2,4,4,3,N/A,N/A,N/A
"2021-11-12 10:33:15","2021-11-12 10:33:15",kris-72jg1,N/A,N/A,N/A,1,5,3,3,3,N/A,N/A,3,N/A,4,4,4,N/A,N/A,N/A
"2021-11-12 10:49:25","2021-11-12 10:49:23",caff-iy71i,N/A,NA,4,2,4,3,3,2,NA,N/A,3,1,5,3,1,"""Gdsg""",N/A,N/A
"2021-11-12 11:29:25","2021-11-12 11:29:25",dreck-hx12h,N/A,NA,3,3,4,2,3,4,NA,N/A,4,2,2,4,2,"""Sick""",N/A,N/A
"2021-11-12 11:30:59","2021-11-12 11:30:59",goby-sw3fc,N/A,N/A,3,3,4,2,3,4,N/A,N/A,4,2,2,4,4,N/A,N/A,N/A
"2021-11-15 08:45:29","2021-11-15 08:45:28",areas-4ib13,N/A,NA,5,3,4,4,2,5,NA,N/A,2,3,3,3,3,N/A,N/A,N/A
"2021-11-15 08:46:14","2021-11-15 08:46:13",areas-4ib13,N/A,NA,2,5,4,2,4,3,NA,N/A,2,4,1,4,1,"""Hello""",N/A,N/A
"2021-11-15 08:48:50","2021-11-15 08:48:50",dully-9eg2z,N/A,N/A,2,2,2,4,1,1,N/A,N/A,1,1,1,1,1,"Hello work",N/A,N/A
"2021-11-16 20:01:32","2021-11-16 20:01:32",dully-9eg2z,N/A,N/A,4,3,5,3,4,5,N/A,N/A,1,1,1,1,1,"yes, no, events, stress, life, work",N/A,N/A
