,,,Q_4463,Q_4474,Q_4472,Q_4464,Q_4959,Q_4475,Q_4473,Q_4465,Q_4466,Q_4467,Q_4468,Q_4469,Q_4470,Q_5303,Q_4471,Q_5295,Q_4476,Q_4481,Q_4958,Q_4477,Q_4482,Q_4478,Q_4479,Q_4483,Q_4480,"External ID"
,,,sleepy_now,feel_then1,stress_whynot,mood_now,N/A,feel_now1,stress_whynot2,where_now,who_now,wellbeing_intro,doing_now,enjoy_now,N/A,stress_intro,N/A,stressor_type,N/A,dotmemory_UUID,colornaming_UUID,N/A,symbolsearch_UUID,distract_now,distract_what,shoppinglist_UUID,N/A
"Survey Date Submitted","Survey Date Completed","Participant ID","Which of these best describes how you feel <u>right now</u>?","How unpleasant was it when it happened?","Why do you think nothing stressful happened?","Which of these best describes your overall mood <u>right now</u>?","Test informational question","How do you feel about it now?","Even though nothing stressful happened, did you think  about stressful things?","Where are you?","Who are you with?","The next questions ask about your activities and experiences during the  time since the last survey.","What activities have you done?","How much enjoyment have you had?","The next several question ask about STRESSFUL experiences that may  have happened since the last survey. A STRESSFUL experience is any experience that presented a challenge or affected  you negatively.","The next several questions ask about STRESSFUL experiences that may have happened since the last survey. A STRESSFUL experience is any experience that presented a challenge or affected you negatively.","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Thank you for completing the survey. Now, get ready to play some brain  games!","Press the arrow button below to continue.","Press the arrow button below to continue.","While you were playing the brain games...","Press the arrow button below to continue.","Were you distracted by anything in your environment while  performing the brain games?","Please identify anything that distracted you. (Select all that apply)","Press the arrow button below to continue.","End Block"
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,19.97,N/A,N/A,81.59,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,86.54,19.26,N/A,14.02,N/A,80.59,N/A,6,4,NA,2,85.84,NA,N/A,N/A,6,NA,A5452025-8101-4BC6-B7A3-0998D2B0137B,203D2990-8A79-4EAE-ABA1-3E49B15AEC2F,NA,0B4FF379-5A9C-4CE6-B97B-3C5667664ADA,N/A,N/A,033197FE-EFCE-482C-8F65-8EE939B0CDD3,N/A,tired_iOS
"2022-01-18 09:09:08","2022-01-18 09:09:08",frug-xl3j7,71.39,74.08,"2,3",75.21,N/A,23.51,17.42,1,"4,2,3",NA,"1,2,6",19.69,NA,N/A,N/A,1,NA,25D34B51-7A6D-4FA7-9F4D-B86FD3A41EBD,74A95813-8307-4F77-847C-28A5CF79A126,NA,5143A79C-78FE-4A3F-A330-58CAC91CE7E6,1,"1,2,3,4,5",31A4C873-8528-4E5D-A2F4-4A5F7C6826FB,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-18 09:09:10","2022-01-18 09:09:07",idol-pp00v,85.00,N/A,"2,3",24.00,N/A,N/A,14.00,1,"2,3,4",N/A,"1,2,6",18.00,N/A,N/A,N/A,1,N/A,d651e2a2-8796-42c5-a5c0-0fb0a0018ae4,f0a7ed9b-e04f-4062-a985-bd1063b999c2,N/A,1bf2e199-136c-48f0-9b8e-77bb8d4cda1e,1,"1,2,3,4,5",ce4545db-0e27-4fef-8db9-54bcc5ef873b,N/A,Android_18Jan2022
"2022-01-18 13:24:53","2022-01-18 13:24:53",dwale-fl91i,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-18 14:12:01","2022-01-18 14:12:01",dwale-fl91i,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
"2022-01-18 14:13:26","2022-01-18 14:13:26",dwale-fl91i,N/A,67.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,j
