Q_4463
Sleepy/Tired,0
Alert/Active,100
Q_4464
Bad,0
Good,100
Q_4465
"Your home",1
"Other person's home",2
"Community/religious center",3
"Work/volunteer center",4
Restaurant/bar,5
Gym,6
"Medical office",7
Outside,8
Other,9
Q_4466
Nobody,1
Spouse/Partner,2
"Your child(ren)",3
"Other family member(s)",4
Friend(s),5
Neighbor(s),6
Acquaintance(s),7
Stranger(s),8
Pet(s),9
Other,10
Q_4467
"No Response",-1
Q_4468
"Socializing (in-person)",1
"Social media (e.g, Facebook)",2
"Chores (household or shopping)",3
"Self-care (e.g., eating, bathing, resting)",4
"Taking care of someone",5
"Watching TV",6
Volunteering/working,7
"Browsing internet",8
"Physical activity/exercise",9
"Mental activity (e.g., reading, puzzles)",10
"Nothing special",11
"Other activity",12
Q_4469
None,0
"Very Much",100
Q_4470
"No Response",-1
Q_4471
"No, nothing special happened",1
"Negative social interaction",2
"Health issue (yours)",3
"Health issue (spouse/partner)",4
"A problem someone else had",5
"A mistake you made",6
"Financial problem",7
"Heard bad or upsetting news",8
"Time pressure / running late",9
"Other stressful experience",10
Q_4472
"Stressful things don’t usually happen to me",1
"I didn’t let problems get to me",2
"I avoided stressful situations",3
"I handled problems before they became stressful",4
"Someone helped me",5
"I got lucky",6
"Other reason",7
Q_4473
"Not At All",0
"Very Much",100
Q_4474
"Not At All",0
Extremely,100
Q_4475
Worse,0
Better,100
Q_4476
"No Response",-1
Q_4477
"No Response",-1
Q_4478
Yes,1
No,2
Q_4479
"Distracting sound",1
"Distracting lights",2
"Distracting temperature",3
"Social distractions",4
"Other distractions",5
Q_4480
"No Response",-1
Q_4481
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
Q_4482
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
Q_4483
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
Q_4958
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
Q_4959
"No Response",-1
Q_5295
"No, nothing stressful happened",1
"Negative social interaction",2
"Health issue (yours)",3
"Health issue (spouse/partner)",4
"A problem someone else had",5
"A mistake you made",6
"Financial problem",7
"Heard bad or upsetting news",8
"Time pressure / running late",9
"Other stressful experience",10
Q_5303
"No Response",-1
