,,,Q_4509,Q_4520,Q_4518,Q_4510,Q_4521,Q_4519,Q_4511,Q_4512,Q_4513,Q_4514,Q_4515,Q_4516,Q_5294,Q_4517,Q_4522,Q_4523,Q_4993,Q_4524,Q_4525,Q_4526,Q_4527,Q_4528,Q_4529,"External ID"
,,,sleepy_now,feel_then1,stress_whynot,mood_now,feel_now1,stress_whynot2,where_now,who_now,wellbeing_intro,doing_now,enjoy_now,stress_intro,stressor_type,N/A,N/A,dotmemory_UUID,colornaming_UUID,symbolsearch_UUID,shoppinglist_UUID,N/A,distract_now,distract_what,N/A
"Survey Date Submitted","Survey Date Completed","Participant ID","Which of these best describes how you feel <u>right now</u>?","How unpleasant was it when it happened?","Why do you think nothing stressful happened?","Which of these best describes your overall mood <u>right now</u>?","How do you feel about it now?","Even though nothing stressful happened, did you think  about stressful things?","Where are you?","Who are you with?","The next questions ask about your activities and experiences during the  time since the last survey.","What activities have you done?","How much enjoyment have you had?","The next several question ask about STRESSFUL experiences that may  have happened since the last survey. A STRESSFUL experience is any experience that presented a challenge or affected  you negatively.","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Thank you for completing the survey. Now, get ready to play some brain  games!","Press the 'Begin' button to start the Dot Memory test.","Press the 'Begin' button to begin the Color Naming test.","Press the 'Begin' button to begin the Symbol Search test.","Press 'Begin' to start the Shopping List test.","While you were playing the brain games...","Were you distracted by anything in your environment while  performing the brain games?","Please identify anything that distracted you. (Select all that apply)","End Block"
"2022-01-06 14:14:06","2022-01-06 14:14:05",genu-za0ct,80.00,N/A,N/A,23.00,N/A,N/A,4,3,N/A,4,85.00,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found-s1i5l
"2022-01-06 14:15:53","2022-01-06 14:15:52",genu-za0ct,81.00,N/A,N/A,20.00,N/A,N/A,6,5,N/A,2,80.00,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found-s1i5l
"2022-01-06 14:26:24","2022-01-06 14:26:23",genu-za0ct,80.00,N/A,N/A,23.00,N/A,N/A,5,6,N/A,3,77.00,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found-s1i5l
"2022-01-07 16:18:10","2022-01-07 16:18:09",genu-za0ct,85.00,N/A,N/A,28.00,N/A,N/A,4,"2,5",N/A,"3,4",21.00,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,found-s1i5l
"2022-01-07 16:48:46","2022-01-07 16:48:44",genu-za0ct,78.00,N/A,N/A,21.00,N/A,N/A,N/A,"6,8",N/A,2,82.00,N/A,N/A,5,N/A,7d244c7f-f2c2-4eba-bd0a-7f64a2e78815,d390a7c7-b281-47b2-8016-eee8f1a20938,a2ceccb7-8ba8-4190-81fd-cfb56f7b4baf,44543645-fa33-42eb-bbc7-3cebaff314d6,N/A,1,5,N/A,found-s1i5l
"2022-01-09 20:49:20","2022-01-09 18:34:40",cant-jt1w4,24.22,79.04,5,77.90,24.65,19.55,5,1,NA,5,23.94,NA,N/A,5,NA,95D43345-5F60-4B1F-846F-73C5334A93E6,3E4BEBC3-2A43-46B4-A474-D79CF99CB3D8,6D856178-52EB-42FB-AAE9-1EBEB10759C2,8F8A0A2E-879F-4BDC-8930-3B096629B4CA,NA,1,4,N/A,"iOSTest_2022_Jan, 08Jan2022, 09Jan2022iOS"
"2022-01-10 16:28:27","2022-01-10 16:28:26",cant-jt1w4,92.63,85.41,6,22.66,22.80,73.80,6,2,NA,5,16.71,NA,N/A,6,NA,82A54A44-B34A-48FA-BA9F-00E490A99607,8FA40776-1CCB-4940-921A-779C46D36BBE,8F91E910-1BA0-4F7F-9D01-6D0DF0B1D016,9D576E17-6B34-4E1E-8D80-FFF80C27FB96,NA,2,N/A,N/A,"iOSTest_2022_Jan, 08Jan2022, 09Jan2022iOS"
"2022-01-10 16:30:24","2022-01-10 16:30:22",gawp-51hl2,66.00,N/A,N/A,30.00,N/A,N/A,6,5,N/A,6,24.00,N/A,N/A,3,N/A,452ef886-a3d9-47ea-afa1-4e4fd0c3040d,46e1b4ad-7d26-4c2b-abb8-5d1def117a9f,df01e1d8-33ff-4e3d-bad7-5731d576989c,2c421fb0-3155-41b2-b60b-b57eb68491d5,N/A,2,N/A,N/A,09Jan2022Android
