,,,Q_4983,"External ID"
"Survey Date Submitted","Survey Date Completed","Participant ID","What is your average wakeup time?"
"2022-01-18 08:59:44","2022-01-18 08:59:44",idol-pp00v,300,Android_18Jan2022
"2022-01-18 09:01:29","2022-01-18 09:01:29",frug-xl3j7,300,"iOS_18Jan2022, Check_stickiness"
"2022-01-19 07:31:02","2022-01-19 07:31:02",char-w1s9d,360,"iOS_15Nov2021, iOS_19Jan2022"
"2022-01-19 07:38:30","2022-01-19 07:38:30",ajuga-l8j90,480,iPhone7_19Jan2022
"2022-01-19 08:25:32","2022-01-19 08:25:32",fend-6lh42,420,miA2_19Jan2022a
"2022-01-19 08:31:24","2022-01-19 08:31:24",dream-v3c9d,360,MiA2_20Jan2022
"2022-01-19 10:14:47","2022-01-19 10:14:46",dawns-h1917,300,MiA2_20Jan2022b
"2022-01-19 10:18:53","2022-01-19 10:18:53",sohs-ff5yv,600,iPhone7_checkIntake
"2022-01-20 07:32:03","2022-01-20 07:32:02",along-p98t6,540,S10e_20Jan2022
"2022-01-20 11:02:35","2022-01-20 11:02:34",frug-xl3j7,300,"iOS_18Jan2022, Check_stickiness"
"2022-01-21 17:31:14","2022-01-21 17:31:14",axon-wl690,360,21Jan2022
"2022-01-21 17:37:24","2022-01-21 17:37:24",jump-mi417,420,21Jan2022_iOS
"2022-01-21 18:25:01","2022-01-21 18:25:00",koji-a2g1n,300,MiA2_21Jan2022_#20
"2022-01-21 18:28:40","2022-01-21 18:28:40",crude-wa7is,240,MiA2_21Jan2022_#6
"2022-01-21 18:30:42","2022-01-21 18:30:43",fonds-wy8r1,600,MiA4_21Jan2022_#4
"2022-01-21 18:40:44","2022-01-21 18:40:43",hast-tz4fm,420,Start22Jan2022
"2022-01-21 18:44:00","2022-01-21 18:43:59",dodgy-mq82w,360,22Jan2022iOS
"2022-01-21 18:45:17","2022-01-21 18:45:17",hast-tz4fm,420,Start22Jan2022
"2022-01-21 18:53:17","2022-01-21 18:53:18",lobo-at8n4,540,MiA2_22Jan2022_4
"2022-01-22 09:08:36","2022-01-22 09:08:36",bevy-qy3l1,420,Start22Jan2022_S10e
"2022-01-23 21:22:35","2022-01-23 21:22:35",escar-vi0z3,300,24Jan2022_iOS
