,,,,Q_4484,Q_4485,Q_4486,Q_4487,Q_4488,Q_4489,Q_4490,Q_4491,"External ID","Alert Times",Model,OS
,,,,sleep_quality,sleep_fall,sleep_quality,sleep_trouble,sleep_refresh,pleasant_expect_intro,stress_today,uplift_today
"Survey Date Submitted","Survey Date Completed","Participant ID","Survey Name","The following questions ask about your sleep last night.","How difficult was it to fall asleep?","How was the quality of your sleep?","Did you have trouble staying asleep?","Did you feel refreshed when you woke up?","The next questions ask about how you expect your day will be.","Overall, how stressful do you expect today will be?","Overall, how pleasant do you expect today will be?"
"2022-01-18 08:03:16","2022-01-18 08:03:16",curdy-ls0rn,"Waking Survey",NA,19.83,85.41,20.82,81.59,NA,77.20,0.00,tired_iOS,,N/A,N/A
"2022-01-18 08:04:48","2022-01-18 08:04:47",gush-wv4rx,"Waking Survey",N/A,12.00,85.00,14.00,25.00,N/A,89.00,90.00,no_scheduler_check,,N/A,N/A
"2022-01-18 09:01:29","2022-01-18 09:01:29",frug-xl3j7,"Waking Survey",NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness",,N/A,N/A
"2022-01-18 09:01:57","2022-01-18 09:01:56",frug-xl3j7,"Waking Survey",NA,17.42,74.22,22.10,69.83,NA,26.20,72.24,"iOS_18Jan2022, Check_stickiness",,N/A,N/A
"2022-01-18 19:02:29","2022-01-18 19:02:27",idol-pp00v,"Waking Survey",N/A,N/A,N/A,N/A,26.00,N/A,96.00,19.00,Android_18Jan2022,,SM-G970U,11
"2022-01-19 06:38:14","2022-01-19 06:38:13",idol-pp00v,"Waking Survey",N/A,85.00,23.00,85.00,27.00,N/A,82.00,96.00,Android_18Jan2022,,SM-G970U,11
"2022-01-19 07:12:49","2022-01-19 07:12:49",frug-xl3j7,"Waking Survey",NA,15.44,80.31,15.01,88.24,NA,13.74,82.44,"iOS_18Jan2022, Check_stickiness",,N/A,N/A
"2022-01-19 07:31:28","2022-01-19 07:31:28",char-w1s9d,"Waking Survey",NA,19.84,74.65,20.31,100.00,NA,22.05,77.32,"iOS_15Nov2021, iOS_19Jan2022",,N/A,N/A
"2022-01-19 08:23:42","2022-01-19 08:23:42",ajuga-l8j90,"Waking Survey",NA,81.26,9.13,80.79,11.65,NA,49.92,17.01,iPhone7_19Jan2022,,N/A,N/A
"2022-01-19 08:26:02","2022-01-19 08:26:01",fend-6lh42,"Waking Survey",N/A,20.00,73.00,12.00,68.00,N/A,22.00,66.00,miA2_19Jan2022a,,"Mi A2",8.1.0
"2022-01-19 10:28:54","2022-01-19 10:28:54",mics-f70o4,"Waking Survey",NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,,N/A,N/A
