Q_4492
"No Response",-1
Q_4493
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4494
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4495
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4496
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4497
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4498
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4499
"No Response",-1
Q_4500
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4501
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4502
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4503
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4504
"Strongly agree",1
Agree,2
"Neither Agree nor Disagree",3
Disagree,4
"Strongly disagree",5
Q_4505
%%,-1
Q_4506
"No Response",-1
Q_4507
"No Response",-1
Q_4508
"No Response",-1
