,,,Q_4484,Q_4485,Q_4486,Q_4487,Q_4488,Q_4489,Q_4490,Q_4491,"External ID"
,,,sleep_quality,sleep_fall,sleep_quality,sleep_trouble,sleep_refresh,pleasant_expect_intro,stress_today,uplift_today
"Survey Date Submitted","Survey Date Completed","Participant ID","The following questions ask about your sleep last night.","How difficult was it to fall asleep?","How was the quality of your sleep?","Did you have trouble staying asleep?","Did you feel refreshed when you woke up?","The next questions ask about how you expect your day will be.","Overall, how stressful do you expect today will be?","Overall, how pleasant do you expect today will be?"
"2022-01-18 08:03:16","2022-01-18 08:03:16",curdy-ls0rn,NA,19.83,85.41,20.82,81.59,NA,77.20,0.00,tired_iOS
"2022-01-18 08:04:48","2022-01-18 08:04:47",gush-wv4rx,N/A,12.00,85.00,14.00,25.00,N/A,89.00,90.00,no_scheduler_check
"2022-01-18 09:01:29","2022-01-18 09:01:29",frug-xl3j7,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-18 09:01:57","2022-01-18 09:01:56",frug-xl3j7,NA,17.42,74.22,22.10,69.83,NA,26.20,72.24,"iOS_18Jan2022, Check_stickiness"
"2022-01-18 19:02:29","2022-01-18 19:02:27",idol-pp00v,N/A,N/A,N/A,N/A,26.00,N/A,96.00,19.00,Android_18Jan2022
"2022-01-19 06:38:14","2022-01-19 06:38:13",idol-pp00v,N/A,85.00,23.00,85.00,27.00,N/A,82.00,96.00,Android_18Jan2022
"2022-01-19 07:12:49","2022-01-19 07:12:49",frug-xl3j7,NA,15.44,80.31,15.01,88.24,NA,13.74,82.44,"iOS_18Jan2022, Check_stickiness"
"2022-01-19 07:31:28","2022-01-19 07:31:28",char-w1s9d,NA,19.84,74.65,20.31,100.00,NA,22.05,77.32,"iOS_15Nov2021, iOS_19Jan2022"
"2022-01-19 08:23:42","2022-01-19 08:23:42",ajuga-l8j90,NA,81.26,9.13,80.79,11.65,NA,49.92,17.01,iPhone7_19Jan2022
"2022-01-19 08:26:02","2022-01-19 08:26:01",fend-6lh42,N/A,20.00,73.00,12.00,68.00,N/A,22.00,66.00,miA2_19Jan2022a
"2022-01-19 10:28:54","2022-01-19 10:28:54",mics-f70o4,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A
"2022-01-20 07:24:36","2022-01-20 07:24:35",fend-6lh42,N/A,23.00,82.00,27.00,81.00,N/A,25.00,79.00,miA2_19Jan2022a
"2022-01-20 08:01:03","2022-01-20 08:01:03",dream-v3c9d,N/A,32.00,76.00,30.00,75.00,N/A,N/A,N/A,MiA2_20Jan2022
"2022-01-20 11:02:35","2022-01-20 11:02:34",frug-xl3j7,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"iOS_18Jan2022, Check_stickiness"
"2022-01-20 11:11:31","2022-01-20 11:11:30",along-p98t6,N/A,20.00,84.00,28.00,18.00,N/A,82.00,20.00,S10e_20Jan2022
"2022-01-20 12:23:24","2022-01-20 12:23:23",frug-xl3j7,NA,25.50,74.65,27.05,74.79,NA,22.52,78.75,"iOS_18Jan2022, Check_stickiness"
"2022-01-22 08:04:54","2022-01-22 08:04:54",dodgy-mq82w,NA,84.28,21.67,84.70,21.39,NA,83.00,21.25,22Jan2022iOS
"2022-01-22 09:09:07","2022-01-22 09:09:06",bevy-qy3l1,N/A,0.00,100.00,N/A,50.00,N/A,0.00,100.00,Start22Jan2022_S10e
"2022-01-22 10:17:54","2022-01-22 10:17:55",lobo-at8n4,N/A,25.00,70.00,34.00,70.00,N/A,29.00,100.00,MiA2_22Jan2022_4
"2022-01-24 07:25:24","2022-01-24 07:25:24",escar-vi0z3,NA,84,25,85,88,NA,17,N/A,24Jan2022_iOS
"2022-01-24 08:41:55","2022-01-24 08:41:54",bevy-qy3l1,N/A,22.00,86.00,20.00,24.00,N/A,87.00,23.00,Start22Jan2022_S10e
