,,,,Q_4983,"External ID","Alert Times",Model,OS
"Survey Date Submitted","Survey Date Completed","Participant ID","Survey Name","What is your average wakeup time?"
"2022-01-18 08:59:44","2022-01-18 08:59:44",idol-pp00v,"Intake Survey",300,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-18 09:01:29","2022-01-18 09:01:29",frug-xl3j7,"Intake Survey",300,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-19 07:31:02","2022-01-19 07:31:02",char-w1s9d,"Intake Survey",360,"iOS_15Nov2021, iOS_19Jan2022",N/A,N/A,N/A
"2022-01-19 07:38:30","2022-01-19 07:38:30",ajuga-l8j90,"Intake Survey",480,iPhone7_19Jan2022,N/A,N/A,N/A
"2022-01-19 08:25:32","2022-01-19 08:25:32",fend-6lh42,"Intake Survey",420,miA2_19Jan2022a,N/A,"Mi A2",8.1.0
"2022-01-19 08:31:24","2022-01-19 08:31:24",dream-v3c9d,"Intake Survey",360,MiA2_20Jan2022,N/A,"Mi A2",8.1.0
"2022-01-19 10:14:47","2022-01-19 10:14:46",dawns-h1917,"Intake Survey",300,MiA2_20Jan2022b,N/A,"Mi A2",8.1.0
"2022-01-19 10:18:53","2022-01-19 10:18:53",sohs-ff5yv,"Intake Survey",600,iPhone7_checkIntake,N/A,N/A,N/A
"2022-01-20 07:32:03","2022-01-20 07:32:02",along-p98t6,"Intake Survey",540,S10e_20Jan2022,N/A,SM-G970U,11
"2022-01-20 11:02:35","2022-01-20 11:02:34",frug-xl3j7,"Intake Survey",300,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-21 17:31:14","2022-01-21 17:31:14",axon-wl690,"Intake Survey",360,21Jan2022,N/A,SM-G970U,11
"2022-01-21 17:37:24","2022-01-21 17:37:24",jump-mi417,"Intake Survey",420,21Jan2022_iOS,N/A,N/A,N/A
"2022-01-21 18:25:01","2022-01-21 18:25:00",koji-a2g1n,"Intake Survey",300,MiA2_21Jan2022_#20,N/A,"Mi A2",8.1.0
