key,wearit_col_qnum,wearit_col_ques,wearit_col_label,filenames
"Sleepy/Tired,0",Q_4463,Which of these best describes how you feel <u>right now</u>?,sleepy_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Alert/Active,100",Q_4463,Which of these best describes how you feel <u>right now</u>?,sleepy_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Bad,0",Q_4464,Which of these best describes your overall mood <u>right now</u>?,mood_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Good,100",Q_4464,Which of these best describes your overall mood <u>right now</u>?,mood_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Your home,1",Q_4465,Where are you?,where_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Other person's home,2",Q_4465,Where are you?,where_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Community/religious center,3",Q_4465,Where are you?,where_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Work/volunteer center,4",Q_4465,Where are you?,where_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Restaurant/bar,5",Q_4465,Where are you?,where_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Gym,6",Q_4465,Where are you?,where_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Medical office,7",Q_4465,Where are you?,where_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Outside,8",Q_4465,Where are you?,where_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Other,9",Q_4465,Where are you?,where_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Nobody,1",Q_4466,Who are you with?,who_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Spouse/Partner,2",Q_4466,Who are you with?,who_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Your child(ren),3",Q_4466,Who are you with?,who_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Other family member(s),4",Q_4466,Who are you with?,who_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Friend(s),5",Q_4466,Who are you with?,who_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Neighbor(s),6",Q_4466,Who are you with?,who_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Acquaintance(s),7",Q_4466,Who are you with?,who_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Stranger(s),8",Q_4466,Who are you with?,who_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Pet(s),9",Q_4466,Who are you with?,who_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Other,10",Q_4466,Who are you with?,who_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"No Response,-1",Q_4467,The next questions ask about your activities and experiences during the  time since the last survey.,info_wellbeing_intro,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Socializing (in-person),1",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Social media (e.g, Facebook),2",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Chores (household or shopping),3",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Self-care (e.g., eating, bathing, resting),4",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Taking care of someone,5",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Watching TV,6",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Volunteering/working,7",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Browsing internet,8",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Physical activity/exercise,9",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Mental activity (e.g., reading, puzzles),10",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Nothing special,11",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Other activity,12",Q_4468,What activities have you done?,doing_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"None,0",Q_4469,How much enjoyment have you had?,enjoy_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
"Very Much,100",Q_4469,How much enjoyment have you had?,enjoy_now,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
