skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,POSIXct.min,POSIXct.max,POSIXct.median,POSIXct.n_unique,filenames
character,Participant ID,0,1,10,11,0,37,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,...4,0,1,15,15,0,3,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,sleepy_now,0,1,1,6,0,95,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,feel_then1,0,1,2,6,0,68,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,stress_whynot,0,1,1,13,0,15,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,mood_now,0,1,1,6,0,85,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,depricated...9,102,0.43956043956043955,3,3,0,1,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,feel_now1,0,1,1,5,0,59,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,stress_whynot2,0,1,2,5,0,27,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,where_now,0,1,1,3,0,10,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,who_now,0,1,1,18,0,45,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,info_wellbeing_intro,88,0.5164835164835164,3,3,0,1,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,doing_now,0,1,1,13,0,42,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,enjoy_now,0,1,2,6,0,83,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,depricated...17,123,0.32417582417582413,3,3,0,1,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,info_stress_intro,35,0.8076923076923077,3,3,0,1,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,depricated...19,0,1,1,3,0,4,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,stressor_type,0,1,1,3,0,9,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,info_brain_games,49,0.7307692307692308,3,3,0,1,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,dotmemory_UUID,0,1,3,36,0,74,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,colornaming_UUID,0,1,3,36,0,94,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,info_distract,33,0.8186813186813187,3,3,0,1,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,symbolsearch_UUID,0,1,3,36,0,68,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,distract_now,0,1,1,3,0,3,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,distract_what,0,1,1,9,0,15,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,shoppinglist_UUID,0,1,3,36,0,64,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,end_block,0,1,3,3,0,1,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,...30,0,1,1,31,0,46,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,...31,0,1,3,19,0,21,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,...32,0,1,1,10,0,16,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,...33,102,0.43956043956043955,1,10,0,7,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,depricated...16,106,0.41758241758241754,3,3,0,1,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
character,...29,80,0.5604395604395604,1,31,0,28,0,NA,NA,NA,NA,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
POSIXct,Survey Date Submitted,0,1,NA,NA,NA,NA,NA,2022-01-18T08:02:04Z,2022-02-09T00:13:49Z,2022-01-24T12:44:15Z,127,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
POSIXct,Survey Date Completed,0,1,NA,NA,NA,NA,NA,2022-01-18T08:02:03Z,2022-02-09T10:29:25Z,2022-01-24T12:44:15Z,134,"Beeped_Survey_1,Beeped_Survey_2,Beeped_Survey_3"
