skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,POSIXct.min,POSIXct.max,POSIXct.median,POSIXct.n_unique,filenames
character,Participant ID,0,1,10,11,0,39,0,NA,NA,NA,NA,Waking_Survey
character,...4,0,1,13,13,0,1,0,NA,NA,NA,NA,Waking_Survey
character,info_sleep_quality,29,0.5915492957746479,3,3,0,1,0,NA,NA,NA,NA,Waking_Survey
character,sleep_fall,0,1,1,5,0,49,0,NA,NA,NA,NA,Waking_Survey
character,sleep_quality,0,1,1,6,0,42,0,NA,NA,NA,NA,Waking_Survey
character,sleep_trouble,0,1,1,6,0,45,0,NA,NA,NA,NA,Waking_Survey
character,sleep_refresh,0,1,2,6,0,45,0,NA,NA,NA,NA,Waking_Survey
character,info_pleasant_expect,27,0.619718309859155,3,3,0,1,0,NA,NA,NA,NA,Waking_Survey
character,stress_today,0,1,1,5,0,46,0,NA,NA,NA,NA,Waking_Survey
character,uplift_today,0,1,2,6,0,45,0,NA,NA,NA,NA,Waking_Survey
character,...13,0,1,3,31,0,37,0,NA,NA,NA,NA,Waking_Survey
character,...14,0,1,3,19,0,20,0,NA,NA,NA,NA,Waking_Survey
character,...15,0,1,3,10,0,12,0,NA,NA,NA,NA,Waking_Survey
character,...16,0,1,1,10,0,8,0,NA,NA,NA,NA,Waking_Survey
POSIXct,Survey Date Submitted,0,1,NA,NA,NA,NA,NA,2022-01-18T08:03:16Z,2022-02-09T13:02:00Z,2022-01-26T07:01:38Z,69,Waking_Survey
POSIXct,Survey Date Completed,0,1,NA,NA,NA,NA,NA,2022-01-18T08:03:16Z,2022-02-09T10:01:59Z,2022-01-26T07:01:37Z,71,Waking_Survey
