2022-01-18 08:59:44...1,2022-01-18 08:59:44...2,idol-pp00v,Survey Name,What is your average wakeup time?,...6,...7,...8,...9
2022-01-18T09:01:29Z,2022-01-18T09:01:29Z,frug-xl3j7,Intake Survey,300,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
2022-01-19T07:31:02Z,2022-01-19T07:31:02Z,char-w1s9d,Intake Survey,360,"iOS_15Nov2021, iOS_19Jan2022",N/A,N/A,N/A
2022-01-19T07:38:30Z,2022-01-19T07:38:30Z,ajuga-l8j90,Intake Survey,480,iPhone7_19Jan2022,N/A,N/A,N/A
2022-01-19T08:25:32Z,2022-01-19T08:25:32Z,fend-6lh42,Intake Survey,420,miA2_19Jan2022a,N/A,Mi A2,8.1.0
2022-01-19T08:31:24Z,2022-01-19T08:31:24Z,dream-v3c9d,Intake Survey,360,MiA2_20Jan2022,N/A,Mi A2,8.1.0
2022-01-19T10:14:47Z,2022-01-19T10:14:46Z,dawns-h1917,Intake Survey,300,MiA2_20Jan2022b,N/A,Mi A2,8.1.0
2022-01-19T10:18:53Z,2022-01-19T10:18:53Z,sohs-ff5yv,Intake Survey,600,iPhone7_checkIntake,N/A,N/A,N/A
2022-01-20T07:32:03Z,2022-01-20T07:32:02Z,along-p98t6,Intake Survey,540,S10e_20Jan2022,N/A,SM-G970U,11
2022-01-20T11:02:35Z,2022-01-20T11:02:34Z,frug-xl3j7,Intake Survey,300,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
2022-01-21T17:31:14Z,2022-01-21T17:31:14Z,axon-wl690,Intake Survey,360,21Jan2022,N/A,SM-G970U,11
2022-01-21T17:37:24Z,2022-01-21T17:37:24Z,jump-mi417,Intake Survey,420,21Jan2022_iOS,N/A,N/A,N/A
2022-01-21T18:25:01Z,2022-01-21T18:25:00Z,koji-a2g1n,Intake Survey,300,MiA2_21Jan2022_#20,N/A,Mi A2,8.1.0
2022-01-21T18:28:40Z,2022-01-21T18:28:40Z,crude-wa7is,Intake Survey,240,MiA2_21Jan2022_#6,N/A,Mi A2,8.1.0
2022-01-21T18:30:42Z,2022-01-21T18:30:43Z,fonds-wy8r1,Intake Survey,600,MiA4_21Jan2022_#4,N/A,Mi A2,8.1.0
2022-01-21T18:40:44Z,2022-01-21T18:40:43Z,hast-tz4fm,Intake Survey,420,Start22Jan2022,N/A,SM-G970U,11
2022-01-21T18:44:00Z,2022-01-21T18:43:59Z,dodgy-mq82w,Intake Survey,360,22Jan2022iOS,N/A,N/A,N/A
2022-01-21T18:45:17Z,2022-01-21T18:45:17Z,hast-tz4fm,Intake Survey,420,Start22Jan2022,N/A,SM-G970U,11
2022-01-21T18:53:17Z,2022-01-21T18:53:18Z,lobo-at8n4,Intake Survey,540,MiA2_22Jan2022_4,N/A,Mi A2,8.1.0
2022-01-22T09:08:36Z,2022-01-22T09:08:36Z,bevy-qy3l1,Intake Survey,420,Start22Jan2022_S10e,N/A,SM-G970U,11
2022-01-23T21:22:35Z,2022-01-23T21:22:35Z,escar-vi0z3,Intake Survey,300,24Jan2022_iOS,N/A,"iPhone11,8",iOS 15.1
